,Links,Title,Details,Price,Ratings
0,,,,,
1,https://www.airbnb.co.in/rooms/669305550735724654?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579135_vO41hs4djIEnzLyq&previous_page_section_name=1000&federated_search_id=1da98ac7-a814-4651-9983-0f1d6778c9a5,Room in Mumbai,Stay with Dhruv,", ",4.86 (37)
2,https://www.airbnb.co.in/rooms/41658357?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579135_njZ%2BeH%2BsZvFsCSWn&previous_page_section_name=1000&federated_search_id=1da98ac7-a814-4651-9983-0f1d6778c9a5,Flat in Mumbai,1 queen bed,"₹3,993 per night",4.64 (88)
3,https://www.airbnb.co.in/rooms/47740615?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579135_j8Y7SbcZwspmL8sH&previous_page_section_name=1000&federated_search_id=1da98ac7-a814-4651-9983-0f1d6778c9a5,Shared room in Mumbai,10 single beds,₹650 per night,4.62 (121)
4,https://www.airbnb.co.in/rooms/53958788?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579135_f2nnmk%2BQXIabuSox&previous_page_section_name=1000&federated_search_id=1da98ac7-a814-4651-9983-0f1d6778c9a5,Home in Mumbai,2 beds,"₹2,625 per night",4.53 (40)
5,https://www.airbnb.co.in/rooms/52397490?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579135_HNRZmc56Cy2knK5o&previous_page_section_name=1000&federated_search_id=1da98ac7-a814-4651-9983-0f1d6778c9a5,Flat in Antarli,1 bed,"₹1,769 per night",4.82 (33)
6,https://www.airbnb.co.in/rooms/687507663236916603?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579135_V6cudomoKk9foPcn&previous_page_section_name=1000&federated_search_id=1da98ac7-a814-4651-9983-0f1d6778c9a5,Holiday home in Mapgaon,2 king beds,"₹3,652 per night, originally ₹6,047",4.95 (80)
7,https://www.airbnb.co.in/rooms/618656020736022975?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579135_1ehafcvH7DF3UJsY&previous_page_section_name=1000&federated_search_id=1da98ac7-a814-4651-9983-0f1d6778c9a5,Cabin in Chouk,1 bed,"₹4,023 per night",4.75 (63)
8,https://www.airbnb.co.in/rooms/645438661271033336?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579135_%2F0GtuU%2B74uJrcsSU&previous_page_section_name=1000&federated_search_id=1da98ac7-a814-4651-9983-0f1d6778c9a5,Apartment in Thane,1 bed,"₹2,168 per night",4.38 (26)
9,https://www.airbnb.co.in/rooms/592532541744499119?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579135_v3Ob9KDbRdUU5Ldx&previous_page_section_name=1000&federated_search_id=1da98ac7-a814-4651-9983-0f1d6778c9a5,Room in Kamshet,Stay with Karthikeyan,", ",4.5 (10)
10,https://www.airbnb.co.in/rooms/793124795557386975?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579135_KFbYsjbpn06jPHYm&previous_page_section_name=1000&federated_search_id=1da98ac7-a814-4651-9983-0f1d6778c9a5,Place to stay in Pune,1 double bed,"₹750 per night, originally ₹914",New
11,https://www.airbnb.co.in/rooms/695340371204264500?check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579135_t%2Fsr5KT8BDHSVQDy&previous_page_section_name=1000&federated_search_id=1da98ac7-a814-4651-9983-0f1d6778c9a5,Apartment in Pune,2 beds,"₹2,760 per night",4.88 (17)
12,https://www.airbnb.co.in/rooms/637440082591707806?category_tag=Tag%3A8678&enable_m3_private_room=true&check_in=2023-07-05&check_out=2023-07-07&source_impression_id=p3_1688579135_ggAvrhwQoTYigst8&previous_page_section_name=1000&federated_search_id=1da98ac7-a814-4651-9983-0f1d6778c9a5,Room in Mulshi,Stay with Kavita,"₹9,130 per night",5.0 (11)
