,Links,Name,Price,KM Run
0,,,,
1,https://www.carpages.ca/used-cars/manitoba/winnipeg/2017-toyota-prius-10144047/,2017 Toyota Prius,20993,"136,538KM"
2,https://www.carpages.ca/new-cars/ontario/tilbury/2023-ford-f-150-10143324/,2023 Ford F-150,107465,CALL
3,https://www.carpages.ca/new-cars/nova-scotia/port-hawkesbury/2023-toyota-tundra-10143078/,2023 Toyota Tundra,80345,10KM
4,https://www.carpages.ca/new-cars/nova-scotia/port-hawkesbury/2023-toyota-camry-10143066/,2023 Toyota Camry,35230,10KM
5,https://www.carpages.ca/used-cars/quebec/saint-jean-sur-richelieu/2021-hyundai-kona-10142427/,2021 Hyundai KONA,32800,"81,858KM"
6,https://www.carpages.ca/used-cars/quebec/saint-jean-sur-richelieu/2022-hyundai-ioniq-5-10142424/,2022 Hyundai IONIQ 5,50995,"22,000KM"
7,https://www.carpages.ca/used-cars/ontario/cobourg/2021-toyota-sienna-10141935/,2021 Toyota Sienna,66979,"43,084KM"
8,https://www.carpages.ca/new-cars/manitoba/winnipeg/2023-kia-niro-10141560/,2023 Kia NIRO,51617,26KM
9,https://www.carpages.ca/new-cars/manitoba/winnipeg/2023-volvo-xc60-10141554/,2023 Volvo XC60,97600,15KM
10,https://www.carpages.ca/new-cars/manitoba/winnipeg/2023-volvo-xc60-10141551/,2023 Volvo XC60,98210,15KM
11,https://www.carpages.ca/new-cars/manitoba/winnipeg/2023-volvo-xc60-10141548/,2023 Volvo XC60,99165,30KM
12,https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-toyota-sienna-10141539/,2022 Toyota Sienna,72750,"9,602KM"
13,https://www.carpages.ca/used-cars/manitoba/winnipeg/2019-mitsubishi-outlander-10141482/,2019 Mitsubishi Outlander,34870,"47,627KM"
14,https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-ford-f-150-10141407/,2022 Ford F-150,60990,"17,235KM"
15,https://www.carpages.ca/used-cars/ontario/kitchener/2023-toyota-camry-10141101/,2023 Toyota Camry,51999,25KM
16,https://www.carpages.ca/used-cars/ontario/kitchener/2023-toyota-camry-10141077/,2023 Toyota Camry,51999,25KM
17,https://www.carpages.ca/used-cars/ontario/kitchener/2021-jeep-wrangler-10140966/,2021 Jeep Wrangler,61499,"20,855KM"
18,https://www.carpages.ca/used-cars/ontario/kitchener/2017-toyota-camry-10140879/,2017 Toyota Camry,21880,"172,701KM"
19,https://www.carpages.ca/used-cars/ontario/brampton/2018-toyota-camry-10140792/,2018 Toyota Camry,30900,"121,200KM"
20,https://www.carpages.ca/used-cars/alberta/edmonton/2006-lexus-rx-400h-10140663/,2006 Lexus RX 400h,13900,"164,318KM"
21,https://www.carpages.ca/used-cars/quebec/quebec/2019-hyundai-ioniq-10140225/,2019 Hyundai IONIQ,25687,"70,946KM"
22,https://www.carpages.ca/new-cars/alberta/medicine-hat/2023-ford-escape-10139970/,2023 Ford Escape,54723,352KM
23,https://www.carpages.ca/used-cars/alberta/sherwood-park/2020-toyota-rav4-10139577/,2020 Toyota RAV4,48995,CALL
24,https://www.carpages.ca/used-cars/ontario/brampton/2020-toyota-highlander-10139562/,2020 Toyota Highlander,52900,"89,200KM"
25,https://www.carpages.ca/used-cars/ontario/scarborough/2013-toyota-prius-10139091/,2013 Toyota Prius,15950,CALL
26,https://www.carpages.ca/new-cars/british-columbia/surrey/2023-chrysler-pacifica-10138566/,2023 Chrysler Pacifica,79200,15KM
27,https://www.carpages.ca/used-cars/manitoba/winnipeg/2019-toyota-rav4-10138338/,2019 Toyota RAV4,45800,"60,000KM"
28,https://www.carpages.ca/used-cars/manitoba/winnipeg/2014-hyundai-sonata-10138326/,2014 Hyundai Sonata,19800,"80,000KM"
29,https://www.carpages.ca/used-cars/ontario/hamilton/2019-toyota-rav4-10138080/,2019 Toyota RAV4,29995,"188,440KM"
30,https://www.carpages.ca/new-cars/british-columbia/surrey/2023-jeep-wrangler-10137996/,2023 Jeep Wrangler,75427,25KM
31,https://www.carpages.ca/used-cars/manitoba/selkirk/2022-ford-f-150-10137975/,2022 Ford F-150,69794,"43,623KM"
32,https://www.carpages.ca/used-cars/manitoba/selkirk/2020-ford-escape-10137972/,2020 Ford Escape,37294,"51,495KM"
33,https://www.carpages.ca/new-cars/manitoba/selkirk/2023-ford-escape-10137960/,2023 Ford Escape,47943,6KM
34,https://www.carpages.ca/new-cars/manitoba/selkirk/2023-ford-escape-10137957/,2023 Ford Escape,47943,4KM
35,https://www.carpages.ca/used-cars/ontario/kanata/2022-toyota-rav4-10137801/,2022 Toyota RAV4,61480,"29,800KM"
36,https://www.carpages.ca/used-cars/ontario/ottawa/2022-toyota-rav4-10137765/,2022 Toyota RAV4,41698,"8,245KM"
37,https://www.carpages.ca/used-cars/ontario/st-catharines/2021-toyota-rav4-10137696/,2021 Toyota RAV4,47498,"43,010KM"
38,https://www.carpages.ca/used-cars/manitoba/winnipeg/2016-toyota-rav4-10137303/,2016 Toyota RAV4,34109,"42,595KM"
39,https://www.carpages.ca/new-cars/manitoba/brandon/2023-honda-cr-v-10137195/,2023 Honda CR-V,5355875,25KM
40,https://www.carpages.ca/used-cars/british-columbia/richmond/2023-toyota-rav4-10136871/,2023 Toyota RAV4,54888,920KM
41,https://www.carpages.ca/new-cars/saskatchewan/regina/2024-lexus-nx-10136376/,2024 Lexus NX,69155,CALL
42,https://www.carpages.ca/new-cars/british-columbia/vernon/2023-ford-escape-10135971/,2023 Ford Escape,50594,CALL
43,https://www.carpages.ca/new-cars/british-columbia/vernon/2023-ford-escape-10135932/,2023 Ford Escape,50744,CALL
44,https://www.carpages.ca/new-cars/british-columbia/vernon/2023-ford-escape-10135926/,2023 Ford Escape,57324,CALL
45,https://www.carpages.ca/new-cars/british-columbia/vernon/2023-ford-escape-10135920/,2023 Ford Escape,49944,CALL
46,https://www.carpages.ca/new-cars/british-columbia/vernon/2023-ford-escape-10135878/,2023 Ford Escape,50644,CALL
47,https://www.carpages.ca/used-cars/ontario/mississauga/2022-tesla-model-3-10135866/,2022 Tesla Model 3,44995,"45,753KM"
48,https://www.carpages.ca/new-cars/british-columbia/vernon/2023-ford-escape-10135863/,2023 Ford Escape,58074,CALL
49,https://www.carpages.ca/used-cars/ontario/mississauga/2020-ford-escape-10135854/,2020 Ford Escape,35995,"36,224KM"
50,https://www.carpages.ca/new-cars/manitoba/selkirk/2023-ford-escape-10135650/,2023 Ford Escape,50373,43KM
51,https://www.carpages.ca/used-cars/ontario/chatham/2020-ford-escape-10135527/,2020 Ford Escape,36998,"60,267KM"
