,Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
0, Patrick Mahomes ,5250,8.1,648,435,67.1,41,12,105.2,272,42,73,13,67,26,188
1, Justin Herbert ,4739,6.8,699,477,68.2,25,10,93.2,228,32.6,50,7,55,38,206
2, Tom Brady ,4694,6.4,733,490,66.8,25,9,90.7,237,32.3,50,8,63,22,160
3, Kirk Cousins ,4547,7.1,643,424,65.9,29,14,92.5,230,35.8,47,10,66,46,329
4, Joe Burrow ,4475,7.4,606,414,68.3,35,12,100.8,219,36.1,53,10,60,41,259
5, Jared Goff ,4438,7.6,587,382,65.1,29,7,99.3,227,38.7,57,12,81,23,156
6, Josh Allen ,4283,7.6,567,359,63.3,35,14,96.6,212,37.4,51,12,98,33,162
7, Geno Smith ,4282,7.5,572,399,69.8,30,11,100.9,206,36,50,6,54,46,348
8, Trevor Lawrence ,4113,7,584,387,66.3,25,8,95.2,206,35.3,55,3,59,27,184
9, Jalen Hurts ,3701,8,460,306,66.5,22,6,101.6,165,35.9,52,11,68,38,231
10, Aaron Rodgers ,3695,6.8,542,350,64.6,26,12,91.1,177,32.7,53,6,58,32,258
11, Tua Tagovailoa ,3548,8.9,400,259,64.8,25,8,105.5,162,40.5,50,12,84,21,163
12, Russell Wilson ,3524,7.3,483,292,60.5,16,11,84.4,142,29.4,54,11,67,55,368
13, Derek Carr ,3522,7,502,305,60.8,24,14,86.3,161,32.1,47,8,60,27,191
14, Daniel Jones ,3205,6.8,472,317,67.2,15,5,92.5,156,33,27,5,65,44,243
15, Davis Mills ,3118,6.5,479,292,61,17,15,78.8,135,28.2,50,7,58,31,244
16, Matt Ryan ,3057,6.6,461,309,67,14,13,83.9,156,33.8,33,2,45,38,287
17, Mac Jones ,2997,6.8,442,288,65.2,14,11,84.8,127,28.7,42,7,48,34,231
18, Andy Dalton ,2871,7.6,378,252,66.7,18,9,95.2,135,35.7,28,7,64,25,189
19, Dak Prescott ,2860,7.3,394,261,66.2,23,15,91.1,142,36,37,3,68,20,126
20, Jacoby Brissett ,2608,7.1,369,236,64,12,6,88.9,129,35,32,4,55,24,160
21, Ryan Tannehill ,2536,7.8,325,212,65.2,13,6,94.6,116,35.7,35,10,69,33,238
22, Jimmy Garoppolo ,2437,7.9,308,207,67.2,16,4,103,114,37,31,2,57,18,100
23, Kenny Pickett ,2404,6.2,389,245,63,7,9,76.7,123,31.6,28,1,57,27,182
24, Kyler Murray ,2368,6.1,390,259,66.4,14,7,87.2,119,30.5,27,0,38,25,192
